params_index, n_variables, n_total_environments, sparsity, intervention_targets, sample_size, dag_density, reps, data_simulator, dag_simulator, Method, Soft, Number of environments, Rep, Number of possible DAGs, MEC size, MEC total edges, MEC unoriented edges, True orientation rate, False orientation rate, Precision, Recall, Average precision
0, 6, 5, 3, None, None, 0.3, 20, None, er, Full PC (oracle), False, 2, 3, 1, 2, 5, 2, 1.0, 0.0, 1.0, 1.0, 1.0
0, 6, 5, 3, None, None, 0.3, 20, None, er, Min changes (oracle), False, 2, 3, 1, 2, 5, 2, 1.0, 0.0, 1.0, 1.0, 1.0
0, 6, 5, 3, None, None, 0.3, 20, None, er, Full PC (oracle), False, 3, 3, 1, 2, 5, 2, 1.0, 0.0, 1.0, 1.0, 1.0
0, 6, 5, 3, None, None, 0.3, 20, None, er, Min changes (oracle), False, 3, 3, 1, 2, 5, 2, 1.0, 0.0, 1.0, 1.0, 1.0
0, 6, 5, 3, None, None, 0.3, 20, None, er, Full PC (oracle), False, 4, 3, 1, 2, 5, 2, 1.0, 0.0, 1.0, 1.0, 1.0
0, 6, 5, 3, None, None, 0.3, 20, None, er, Min changes (oracle), False, 4, 3, 1, 2, 5, 2, 1.0, 0.0, 1.0, 1.0, 1.0
0, 6, 5, 3, None, None, 0.3, 20, None, er, Full PC (oracle), False, 5, 3, 1, 2, 5, 2, 1.0, 0.0, 1.0, 1.0, 1.0
0, 6, 5, 3, None, None, 0.3, 20, None, er, Min changes (oracle), False, 5, 3, 1, 2, 5, 2, 1.0, 0.0, 1.0, 1.0, 1.0
0, 6, 5, 3, None, None, 0.3, 20, None, er, Full PC (oracle), False, 1, 4, 10, 10, 9, 10, 0.4444, 0.0, 1.0, 0.4444, 0.4444
0, 6, 5, 3, None, None, 0.3, 20, None, er, Min changes (oracle), False, 1, 4, 10, 10, 9, 10, 0.4444, 0.0, 1.0, 0.4444, 0.4444
0, 6, 5, 3, None, None, 0.3, 20, None, er, Full PC (oracle), False, 2, 4, 6, 10, 9, 10, 0.6667, 0.0, 1.0, 0.6667, 0.6667
0, 6, 5, 3, None, None, 0.3, 20, None, er, Min changes (oracle), False, 2, 4, 6, 10, 9, 10, 0.6667, 0.0, 1.0, 0.6667, 0.6667
